id,tanggal (WIB),waktu (WIB),lintang,bujur,tingkat kepercayaan,satelit,radius kemungkinan,kecamatan,kabupaten,provinsi,tipe
3807115,8/7/2023,0:26:26,-6.54797506,108.0935593,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3807190,8/7/2023,1:19:04,-6.54830432,108.0952187,8,noaa20,1280,Terisi,Indramayu,Jawa Barat,Cluster
3808288,8/7/2023,13:06:04,-7.31173706,106.3854446,8,snpp,1125,Cilacap,Sukabumi,Jawa Barat,Cluster
3808289,8/7/2023,13:06:04,-7.04849482,107.7434883,7,snpp,1280,Majalaya,Bandung,Jawa Barat,Cluster
3808290,8/7/2023,13:06:04,-7.18466139,106.7217026,8,snpp,1125,Lengkong,Sukabumi,Jawa Barat,Cluster
3808291,8/7/2023,13:06:04,-7.17867136,106.686882,8,snpp,1125,Cimanggu,Sukabumi,Jawa Barat,Cluster
3808292,8/7/2023,13:06:04,-7.00628662,107.7430267,8,snpp,1125,Solokan Jeruk,Bandung,Jawa Barat,Cluster
3808293,8/7/2023,13:06:04,-7.16491127,106.551384,8,snpp,1125,Ciemas,Sukabumi,Jawa Barat,Cluster
3808295,8/7/2023,13:06:04,-7.1484499,106.5885696,8,snpp,1125,Ciemas,Sukabumi,Jawa Barat,Cluster
3808297,8/7/2023,13:06:04,-6.79507542,108.6284638,8,snpp,1125,Astanajapura,Cirebon,Jawa Barat,Cluster
3808298,8/7/2023,13:06:04,-6.92707777,107.6932449,8,snpp,1125,Cinambo,Bandung,Jawa Barat,Cluster
3808299,8/7/2023,13:06:04,-6.93892384,107.2721024,8,snpp,1125,Rongga,Bandung Barat,Jawa Barat,Cluster
3808300,8/7/2023,13:06:04,-6.94165134,107.2034531,8,snpp,1125,Cibeber,Cianjur,Jawa Barat,Cluster
3808301,8/7/2023,13:06:04,-6.92717266,107.2541504,8,snpp,1125,Bojong Picung,Cianjur,Jawa Barat,Cluster
3808302,8/7/2023,13:06:04,-7.0138154,106.6489334,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3808303,8/7/2023,13:06:04,-6.92052722,107.2489357,8,snpp,1280,Bojong Picung,Cianjur,Jawa Barat,Cluster
3808304,8/7/2023,13:06:04,-6.77184582,108.1982956,7,snpp,1125,Kasokandel,Majalengka,Jawa Barat,Cluster
3808305,8/7/2023,13:06:04,-6.79571629,107.944603,8,snpp,1125,Cimalaka,Sumedang,Jawa Barat,Cluster
3808306,8/7/2023,13:06:04,-6.8882823,107.2472305,8,snpp,1125,Bojong Picung,Cianjur,Jawa Barat,Cluster
3808307,8/7/2023,13:06:04,-6.7470994,108.1312866,8,snpp,1125,Ujungjaya,Sumedang,Jawa Barat,Cluster
3808308,8/7/2023,13:06:04,-6.732014973,108.1079509,8,snpp,1399,Ujungjaya,Sumedang,Jawa Barat,Cluster
3808309,8/7/2023,13:06:04,-6.68897343,108.3598404,7,snpp,1125,Sumber Jaya,Majalengka,Jawa Barat,Cluster
3808310,8/7/2023,13:06:04,-6.6680603,108.0781097,8,snpp,1125,Ujungjaya,Sumedang,Jawa Barat,Cluster
3808311,8/7/2023,13:06:04,-6.66291142,107.7344666,8,snpp,1125,Jalancagak,Subang,Jawa Barat,Cluster
3808312,8/7/2023,13:06:04,-6.50562477,107.5020218,8,snpp,1125,Campaka,Purwakarta,Jawa Barat,Cluster
3808313,8/7/2023,13:06:04,-6.26764727,107.2556534,7,snpp,1125,Kedungwaringin,Bekasi,Jawa Barat,Cluster
3808314,8/7/2023,13:06:04,-6.25962591,107.0434265,7,snpp,1125,Tambun Selatan,Bekasi,Jawa Barat,Cluster
3808904,8/7/2023,13:58:42,-6.5526104,108.0770798,8,noaa20,1125,Kroya,Indramayu,Jawa Barat,Cluster
3808980,8/8/2023,0:08:56,-6.547834877,108.0953471,8,snpp,1399,Terisi,Indramayu,Jawa Barat,Cluster
3809055,8/8/2023,0:58:43,-6.54704618,108.0947342,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3809056,8/8/2023,0:58:43,-6.50105238,107.5477142,8,noaa20,1125,Cibatu,Purwakarta,Jawa Barat,Cluster
3809057,8/8/2023,0:58:43,-6.57242107,107.9099426,8,noaa20,1125,Haurgeulis,Indramayu,Jawa Barat,Cluster
3809094,8/8/2023,1:54:13,-6.546144245,108.0937882,8,snpp,1280,Terisi,Indramayu,Jawa Barat,Cluster
3809095,8/8/2023,1:54:13,-6.46100187,107.2124176,8,snpp,1125,Bojongmangu,Bekasi,Jawa Barat,Cluster
3809118,8/8/2023,9:51:00,-6.907379627,107.5511703,7,terra,3000,Cimahi Selatan,Bandung,Jawa Barat,Cluster
3809119,8/8/2023,9:51:00,-6.927839279,107.696167,7,terra,3000,Cinambo,Bandung,Jawa Barat,Cluster
3809120,8/8/2023,9:51:00,-6.949343204,107.5395203,8,terra,3000,Margaasih,Bandung,Jawa Barat,Cluster
3809121,8/8/2023,9:51:00,-6.970323086,107.6207962,8,terra,3000,Dayeuh Kolot,Bandung,Jawa Barat,Cluster
3809122,8/8/2023,9:51:00,-7.006964207,107.7436371,8,terra,3000,Solokan Jeruk,Bandung,Jawa Barat,Cluster
3809123,8/8/2023,9:51:00,-7.120061398,107.8954239,8,terra,3000,Leles,Garut,Jawa Barat,Cluster
3809686,8/8/2023,12:45:43,-7.22433805,106.4375458,8,snpp,1125,Cilacap,Sukabumi,Jawa Barat,Cluster
